"","Name","Status","ISO","ANSI.letters","ANSI.digits","USPS","USCG","Old.GPO","AP","Other"
"2","United States","Federal state","US
USA","US","00","","","U.S.","U.S.","U.S.A."
"3","Alabama","State","US-AL","AL","01","AL","AL","Ala.","Ala.",""
"4","Alaska","State","US-AK","AK","02","AK","AK","Alaska","Alaska","Alas."
"5","Arizona","State","US-AZ","AZ","04","AZ","AZ","Ariz.","Ariz.","Az."
"6","Arkansas","State","US-AR","AR","05","AR","AR","Ark.","Ark.",""
"7","California","State","US-CA","CA","06","CA","CF","Calif.","Calif.","Ca., Cal., Cali."
"8","Colorado","State","US-CO","CO","08","CO","CL","Colo.","Colo.","Col."
"9","Connecticut","State","US-CT","CT","09","CT","CT","Conn.","Conn.","Ct."
"10","Delaware","State","US-DE","DE","10","DE","DL","Del.","Del.","De."
"11","District of Columbia","Federal district","US-DC","DC","11","DC","DC","D.C.","D.C.","Wash._D.C."
"12","Florida","State","US-FL","FL","12","FL","FL","Fla.","Fla.","Fl., Flor."
"13","Georgia","State","US-GA","GA","13","GA","GA","Ga.","Ga.",""
"14","Hawaii","State","US-HI","HI","15","HI","HA","Hawaii","Hawaii","H.I."
"15","Idaho","State","US-ID","ID","16","ID","ID","Idaho","Idaho","Id., Ida."
"16","Illinois","State","US-IL","IL","17","IL","IL","Ill.","Ill.","Il., Ills., Ill's"
"17","Indiana","State","US-IN","IN","18","IN","IN","Ind.","Ind.","In."
"18","Iowa","State","US-IA","IA","19","IA","IA","Iowa","Iowa","Ia., Ioa."
"19","Kansas","State","US-KS","KS","20","KS","KA","Kans.","Kan.","Ks., Ka."
"20","Kentucky","State (Commonwealth)","US-KY","KY","21","KY","KY","Ky.","Ky.","Ken., Kent."
"21","Louisiana","State","US-LA","LA","22","LA","LA","La.","La.",""
"22","Maine","State","US-ME","ME","23","ME","ME","Maine","Maine","Me."
"23","Maryland","State","US-MD","MD","24","MD","MD","Md.","Md.",""
"24","Massachusetts","State (Commonwealth)","US-MA","MA","25","MA","MS","Mass.","Mass.",""
"25","Michigan","State","US-MI","MI","26","MI","MC","Mich.","Mich.",""
"26","Minnesota","State","US-MN","MN","27","MN","MN","Minn.","Minn.","Mn."
"27","Mississippi","State","US-MS","MS","28","MS","MI","Miss.","Miss.",""
"28","Missouri","State","US-MO","MO","29","MO","MO","Mo.","Mo.",""
"29","Montana","State","US-MT","MT","30","MT","MT","Mont.","Mont.",""
"30","Nebraska","State","US-NE","NE","31","NE","NB","Nebr.","Neb.",""
"31","Nevada","State","US-NV","NV","32","NV","NV","Nev.","Nev.","Nv."
"32","New Hampshire","State","US-NH","NH","33","NH","NH","N.H.","N.H.",""
"33","New Jersey","State","US-NJ","NJ","34","NJ","NJ","N.J.","N.J.",""
"34","New Mexico","State","US-NM","NM","35","NM","NM","N._Mex.","N.M.","New_M."
"35","New York","State","US-NY","NY","36","NY","NY","N.Y.","N.Y.","N._York"
"36","North Carolina","State","US-NC","NC","37","NC","NC","N.C.","N.C.","N._Car."
"37","North Dakota","State","US-ND","ND","38","ND","ND","N._Dak.","N.D.","NoDak"
"38","Ohio","State","US-OH","OH","39","OH","OH","Ohio","Ohio","O., Oh."
"39","Oklahoma","State","US-OK","OK","40","OK","OK","Okla.","Okla.","Ok."
"40","Oregon","State","US-OR","OR","41","OR","OR","Oreg.","Ore.","Or."
"41","Pennsylvania","State (Commonwealth)","US-PA","PA","42","PA","PA","Pa.","Pa.","Penn., Penna."
"42","Rhode Island","State","US-RI","RI","44","RI","RI","R.I.","R.I.","R.I._P.P."
"43","South Carolina","State","US-SC","SC","45","SC","SC","S.C.","S.C.","S._Car."
"44","South Dakota","State","US-SD","SD","46","SD","SD","S._Dak.","S.D.","SoDak"
"45","Tennessee","State","US-TN","TN","47","TN","TN","Tenn.","Tenn.","Tn."
"46","Texas","State","US-TX","TX","48","TX","TX","Tex.","Texas","Tx."
"47","Utah","State","US-UT","UT","49","UT","UT","Utah","Utah","Ut."
"48","Vermont","State","US-VT","VT","50","VT","VT","Vt.","Vt.",""
"49","Virginia","State (Commonwealth)","US-VA","VA","51","VA","VA","Va.","Va.","Virg."
"50","Washington","State","US-WA","WA","53","WA","WN","Wash.","Wash.","Wa., Wn."
"51","West Virginia","State","US-WV","WV","54","WV","WV","W._Va.","W.Va.","W.V., W._Virg."
"52","Wisconsin","State","US-WI","WI","55","WI","WS","Wis.","Wis.","Wi., Wisc."
"53","Wyoming","State","US-WY","WY","56","WY","WY","Wyo.","Wyo.","Wy."
"54","American Samoa","Insular area (Territory)","AS
ASM
US-AS","AS","60","AS","AS","A.S.","",""
"55","Guam","Insular area (Territory)","GU
GUM
US-GU","GU","66","GU","GU","Guam","",""
"56","Northern Mariana Islands","Insular area (Commonwealth)","MP
MNP
US-MP","MP","69","MP","CM","M.P.","",""
"57","Puerto Rico","Insular area (Commonwealth)","PR
PRI
US-PR","PR","72","PR","PR","P.R.","",""
"58","Virgin Islands","Insular area (Territory)","VI
VIR
US-VI","VI","78","VI","VI","V.I.","","U.S.V.I."
"59","U.S. Minor Outlying Islands","Insular areas","UM
UMI
US-UM","UM","74","","","","",""
"60","Baker Island","island","UM-81","","81","","","","",""
"61","Howland Island","island","UM-84","","84","","","","",""
"62","Jarvis Island","island","UM-86","","86","","","","",""
"63","Johnston Atoll","atoll","UM-67","","67","","","","",""
"64","Kingman Reef","atoll","UM-89","","89","","","","",""
"65","Midway Islands","atoll","UM-71","","71","","","","",""
"66","Navassa Island","island","UM-76","","76","","","","",""
"67","Palmyra Atoll","atoll","UM-95","","95","","","","",""
"68","Wake Island","atoll","UM-79","","79","","","","",""
"69","Federated States of Micronesia","Freely associated state","FM
FSM","FM","64","FM","","","",""
"70","Marshall Islands","Freely associated state","MH
MHL","MH","68","MH","","","",""
"71","Palau","Freely associated state","PW
PLW","PW","70","PW","","","",""
"72","U.S. Armed Forces _ Americas","US military mail code","","","","AA","","","",""
"73","U.S. Armed Forces _ Europe","US military mail code","","","","AE","","","",""
"74","U.S. Armed Forces _ Pacific","US military mail code","","","","AP","","","",""
"76","Panama Canal Zone","Obsolete postal code","","","","CZ","","","",""
"78","Philippine Islands","Obsolete postal code","PH
PHL","","","PI","","","",""
"79","Trust Territory of the Pacific Islands","Obsolete postal code","","","","TT","","","",""
